Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd,Player,Season
Season,Regular Season,506,1186,.427,168,514,.327,.497,137,.271,Luka Doncic,2019
Season,Regular Season,581,1255,.463,171,541,.316,.531,111,.191,Luka Doncic,2020
Season,Regular Season,647,1351,.479,192,548,.350,.550,88,.136,Luka Doncic,2021
Season,Regular Season,641,1403,.457,201,569,.353,.529,91,.142,Luka Doncic,2022
Season,Regular Season,719,1449,.496,185,541,.342,.560,110,.153,Luka Doncic,2023
Season,Regular Season,804,1652,.487,284,744,.382,.573,177,.220,Luka Doncic,2024
Season,Regular Season,553,1288,.429,185,503,.368,.501,186,.336,Damian Lillard,2013
Season,Regular Season,553,1304,.424,218,554,.394,.508,220,.398,Damian Lillard,2014
Season,Regular Season,590,1360,.434,196,572,.343,.506,195,.331,Damian Lillard,2015
Season,Regular Season,618,1474,.419,229,610,.375,.497,187,.303,Damian Lillard,2016
Season,Regular Season,661,1489,.444,214,578,.370,.516,211,.319,Damian Lillard,2017
Season,Regular Season,621,1414,.439,227,628,.361,.519,170,.274,Damian Lillard,2018
Season,Regular Season,681,1533,.444,237,643,.369,.522,195,.286,Damian Lillard,2019
Season,Regular Season,624,1349,.463,270,674,.401,.563,113,.181,Damian Lillard,2020
Season,Regular Season,602,1334,.451,275,704,.391,.554,166,.276,Damian Lillard,2021
Season,Regular Season,222,552,.402,92,284,.324,.486,66,.297,Damian Lillard,2022
Season,Regular Season,556,1202,.463,244,658,.371,.564,175,.315,Damian Lillard,2023
Season,Regular Season,541,1277,.424,220,622,.354,.510,175,.323,Damian Lillard,2024
Season,Regular Season,920,1892,.486,111,297,.374,.516,488,.530,Michael Jordan,1997
Season,Regular Season,881,1893,.465,30,126,.238,.473,448,.509,Michael Jordan,1998
Season,Regular Season,551,1324,.416,10,53,.189,.420,246,.446,Michael Jordan,2002
Season,Regular Season,679,1527,.445,16,55,.291,.450,351,.517,Michael Jordan,2003
Season,Regular Season,625,1504,.416,155,455,.341,.467,217,.347,Allen Iverson,1997
Season,Regular Season,649,1407,.461,70,235,.298,.486,266,.410,Allen Iverson,1998
Season,Regular Season,435,1056,.412,58,199,.291,.439,201,.462,Allen Iverson,1999
Season,Regular Season,729,1733,.421,89,261,.341,.446,373,.512,Allen Iverson,2000
Season,Regular Season,762,1813,.420,98,306,.320,.447,323,.424,Allen Iverson,2001
Season,Regular Season,665,1669,.398,78,268,.291,.422,281,.423,Allen Iverson,2002
Season,Regular Season,804,1940,.414,84,303,.277,.436,343,.427,Allen Iverson,2003
Season,Regular Season,435,1125,.387,57,199,.286,.412,165,.379,Allen Iverson,2004
Season,Regular Season,771,1818,.424,104,338,.308,.453,172,.223,Allen Iverson,2005
Season,Regular Season,815,1822,.447,72,223,.323,.467,196,.240,Allen Iverson,2006
Season,Regular Season,581,1313,.442,62,197,.315,.466,146,.251,Allen Iverson,2007
Season,Regular Season,712,1556,.458,95,275,.345,.488,214,.301,Allen Iverson,2008
Season,Regular Season,348,834,.417,28,99,.283,.434,108,.310,Allen Iverson,2009
Season,Regular Season,136,316,.430,9,25,.360,.445,62,.456,Allen Iverson,2010
Season,Regular Season,200,429,.466,36,98,.367,.508,122,.610,Joel Embiid,2017
Season,Regular Season,510,1053,.484,66,214,.308,.516,256,.502,Joel Embiid,2018
Season,Regular Season,580,1199,.484,79,263,.300,.517,317,.547,Joel Embiid,2019
Season,Regular Season,382,801,.477,57,172,.331,.512,199,.521,Joel Embiid,2020
Season,Regular Season,461,900,.512,58,155,.374,.544,224,.486,Joel Embiid,2021
Season,Regular Season,666,1334,.499,93,251,.371,.534,360,.541,Joel Embiid,2022
Season,Regular Season,728,1328,.548,66,200,.330,.573,456,.626,Joel Embiid,2023
Season,Regular Season,450,851,.529,54,139,.388,.561,256,.569,Joel Embiid,2024
